"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments
68538796,"2022-10-23 12:52:41","v1:55/r...5 BikeErg",4:55.0,295,6:00.0,360,2701,297,77,379,1:49.2,269,1224,111,159,126,33,,BikeErg,No,"5 train
https://erg.zone"
68260036,"2022-10-13 14:08:00","30:04 BikeErg",30:04.2,1804.2,,,14519,,84,2536,2:04.2,182,927,462,156,87,33,,BikeErg,No,
68157949,"2022-10-10 12:30:33","v1:55/r...5 BikeErg",4:55.0,295,6:00.0,360,2890,168,81,399,1:42.0,329,1432,118,155,134,33,,BikeErg,No,"5 train
https://erg.zone"
68108150,"2022-10-08 11:56:00","30:00 BikeErg",30:00.0,1800,,,14507,,85,2566,2:04.0,183,930,463,156,62,33,,BikeErg,No,
67990067,"2022-10-04 12:19:00","45:00 BikeErg",45:00.0,2700,,,21251,,85,3844,2:07.0,171,887,661,150,59,33,,BikeErg,No,
67923319,"2022-10-02 11:27:09","v1:55/r...5 BikeErg",4:55.0,295,6:00.0,360,2858,150,89,440,1:43.2,318,1395,115,123,90,33,,BikeErg,No,"5 train
https://erg.zone"
67844464,"2022-09-29 12:56:00","45:00 BikeErg",45:00.0,2700,,,21269,,86,3885,2:06.9,171,888,662,156,61,33,,BikeErg,No,
67734225,"2022-09-26 06:37:00","30:00 BikeErg",30:00.0,1800,,,14140,,85,2567,2:07.2,170,883,439,153,57,33,,BikeErg,No,
67718655,"2022-09-25 12:58:26","v1:55/r...6 BikeErg",5:40.0,340,7:30.0,450,3295,1177,91,520,1:43.1,319,1396,134,155,86,33,,BikeErg,No,"5 train
https://erg.zone"
67633106,"2022-09-22 09:08:00","30:00 BikeErg",30:00.0,1800,,,14503,,84,2538,2:04.1,183,930,461,0,62,33,,BikeErg,No,
67583080,"2022-09-20 15:40:00","35:07 BikeErg",35:07.0,2107,,,16779,,86,3026,2:05.5,177,908,528,158,53,33,,BikeErg,No,
67509399,"2022-09-18 11:39:36","v1:55/r...5 BikeErg",4:55.0,295,6:00.0,360,2727,1585,88,440,1:48.1,276,1251,103,162,80,33,,BikeErg,No,"5 train
https://erg.zone"
67509045,"2022-09-18 11:28:06","v2:55/r...2 BikeErg",2:55.0,175,1:30.0,90,3012,,94,387,0:58.1,1785,6441,76,170,77,33,,BikeErg,No,"5 train
https://erg.zone"
67428706,"2022-09-15 12:45:00","2x1:30/1:00r BikeErg",3:00.0,180,2:00.0,120,1599,519,87,345,1:52.5,245,1144,57,160,78,33,,BikeErg,No,
67428395,"2022-09-15 12:36:00","1:43 BikeErg",1:43.5,103.5,,,1019,,186,160,1:41.5,334,1449,41,169,79,33,,BikeErg,No,
67314844,"2022-09-12 06:46:00","35:02 BikeErg",35:02.3,2102.3,,,16149,,87,3071,2:10.1,159,845,491,151,48,33,,BikeErg,No,
67314021,"2022-09-12 06:10:00","0:13 BikeErg",0:13.0,13,,,73,,64,14,2:58.0,62,513,1,0,44,33,,BikeErg,No,
66942213,"2022-08-30 12:54:00","45:00 BikeErg",45:00.0,2700,,,21006,,89,4000,2:08.5,165,867,646,155,43,33,,BikeErg,No,
66697753,"2022-08-22 14:01:00","45:00 BikeErg",45:00.0,2700,,,20939,,86,3877,2:08.9,163,861,643,160,49,33,,BikeErg,No,
66564977,"2022-08-18 06:59:00","30:14 BikeErg",30:14.3,1814.3,,,13676,,80,2420,2:12.6,150,815,424,149,64,33,,BikeErg,No,
66470894,"2022-08-15 11:52:00","46:00 BikeErg",46:00.0,2760,,,20423,,84,3560,2:15.1,142,788,634,153,64,33,,BikeErg,No,
66364659,"2022-08-11 12:54:00","45:00 BikeErg",45:00.0,2700,,,20906,,80,3627,2:09.1,162,859,641,156,63,33,,BikeErg,No,
66251645,"2022-08-08 07:01:00","40:04 BikeErg",40:04.6,2404.6,,,18182,,84,3395,2:12.2,151,820,545,156,53,33,,BikeErg,No,
66250453,"2022-08-08 06:21:00","3:43 BikeErg",3:43.3,223.3,,,1675,,84,313,2:13.3,148,808,50,132,52,33,,BikeErg,No,
66149317,"2022-08-04 12:15:00","45:00 BikeErg",45:00.0,2700,,,20141,,83,3757,2:14.0,145,800,600,160,52,32,,BikeErg,No,
65971184,"2022-07-30 09:32:00","45:00 BikeErg",45:00.0,2700,,,17460,,77,3245,2:34.6,95,625,509,160,53,32,,BikeErg,No,
